type,code,content,hsn_code_4_digit,chapter_no,sch,gst_rate
hsn,8466.00.00,"Parts and accessories suitable for use solely or principally with the machines of headings 8456 to 8465, including work or tool holders.",Part,84,IV,18%
hsn,8466.100.00,Tool holders and self-opening dieheads,Tool,84,IV,18%
hsn,8466.20.00,Work holders,Work,84,IV,18%
hsn,8466.30.00,Dividing heads and other special attachments for machine-tools,Divi,84,IV,18%
hsn,8466.91.00,Parts and accessories of machine-tools for working mineral materials,Part,84,IV,18%
hsn,8466.92.00,"Parts, accessories, of machine-tools for working wood or hard materials",Part,84,IV,18%
hsn,8466.93.00,"Parts, accessories, of machining centres, lathes or planing machines",Part,84,IV,18%
hsn,8466.94.00,"Parts, accessories, of forging or die-stamping machines, of draw-benches",Part,84,IV,18%
hsn,8467.00.00,"Tools for working in the hand, pneumatic,
hydraulic or with self-contained electric or non- electric motor.",Tool,84,IV,18%
hsn,8467.11.00,"Tools for working the hand, pneumatic, rotary type",Tool,84,IV,18%
hsn,8467.11.100,RH 658 5L Jack Hammer (Rock drills),RH 6,84,IV,18%
hsn,8467.19.00,"Other tools for working in the hand, pneumatic",Othe,84,IV,18%
hsn,8467.81.00,Chain saws with self-contained non-electric motor,Chai,84,IV,18%
hsn,8467.89.00,"Other tools for working in the hand, non- electric",Othe,84,IV,18%
hsn,8467.91.00,Parts of chain saws,Part,84,IV,18%
hsn,8467.92.00,Parts of pneumatic tools for working in the hand,Part,84,IV,18%
hsn,8467.99.00,Parts of other tools for working in the hand,Part,84,IV,18%
hsn,8468.00.00,"Machinery and apparatus for soldering, brazing or welding, whether or not capable of cutting; gas operated surface tempering
machines and appliances",Mach,84,IV,18%
hsn,8468.100.00,Hand-held blow pipes,Hand,84,IV,18%
hsn,8468.20.00,Other gas-operated machinery and apparatus,Othe,84,IV,18%
hsn,8468.20.100,Welding/cutting machines,Weld,84,IV,18%
hsn,8468.20.90,Welding/cutting machines: Other,Weld,84,IV,18%
hsn,8468.80.00,"Other machinery and apparatus for soldering, brazing or welding",Othe,84,IV,18%
hsn,8468.90.00,"Parts of machinery and apparatus for soldering, brazing or welding",Part,84,IV,18%
hsn,8469.00.00,Typewriters other than printers of heading 8443, word-processing machines,Type,84,IV
hsn,8469.00.100,Word processing machines,Word,84,IV,18%
hsn,8469.00.20,Electronic Typewriters,Elec,84,IV,18%
hsn,8469.100.00,Automatic typewriters and word-processing machines,Auto,84,IV,18%
hsn,8469.20.100,Braille type writers (Electronic),Brai,84,IV,18%
hsn,8469.21.00,"Electric typewriters, weighing not more than 12kg, excluding case",Elec,84,IV,18%
hsn,8469.29.00,Other electric typewriters,Othe,84,IV,18%
hsn,8469.30.100,Braille type writers (Non Electronic),Brai,84,IV,18%
hsn,8469.30.90,Typewriters,Type,84,IV,18%
hsn,8469.31.00,"Non-electric typewriters, weighing not more than 12kg, excluding case",Non-,84,IV,18%
hsn,8469.39.00,"Other typewriters, non-electric",Othe,84,IV,18%
hsn,8470.00.00,"Calculating machines and pocket-size data recording, reproducing and displaying machines with calculating functions; accounting machines, postage-franking machines, ticket-issuing machines and similar machines, incorporating a calculating device; cash registers electronic calculators capable of operationwithout an external source of electric power and pocket",Calc,84,IV,18%
hsn,8470.100.00,"Electronic calculators, operation without an external source of power",Elec,84,IV,18%
hsn,8470.21.00,"Electronic calculating machines, incorporating a printing device",Elec,84,IV,18%
hsn,8470.29.00,Other electronic calculating machines,Othe,84,IV,18%
hsn,8470.30.00,Other calculating machines,Othe,84,IV,18%
hsn,8470.40.00,Accounting machines,Acco,84,IV,18%
hsn,8470.40.100,Accounting machines - Electrically operated,Acco,84,IV,18%
hsn,8470.40.20,Accounting machines - Manually operated,Acco,84,IV,18%
hsn,8470.50.00,Cash registers,Cash,84,IV,18%
hsn,8470.50.100,Cash registers - Electrically operated,Cash,84,IV,18%
hsn,8470.50.20,Cash registerss - Manually operated,Cash,84,IV,18%
hsn,8470.90.00,"Other machines, incorporating a calculating device",Othe,84,IV,18%
hsn,8470.90.100,Electronic diaries,Elec,84,IV,18%
hsn,8471.00.00,"Automatic data processing machines and units thereof; magnetic or optical readers, machines for transcribing data on to data media in coded form and machines for processing such data, not elsewhere specified or included analogue or hybrid",Auto,84,IV,18%
hsn,8471.00.00,Multi Functional Digital Copiers,Mult,84,IV,18%
hsn,8471.100.00,Analogue or hybrid automatic data processing machines,Anal,84,IV,18%
hsn,8471.20.00,Digital automatic data processing machines,Digi,84,IV,18%
hsn,8471.91.00,Digital processing units,Digi,84,IV,18%
hsn,8471.92.00,Input or output units,Inpu,84,IV,18%
hsn,8471.93.00,Storage units,Stor,84,IV,18%
hsn,8471.99.00,Bio metric readers (Finger Print),Bio ,84,IV,18%
hsn,8471.99.00,Fence controllers,Fenc,84,IV,18%
hsn,8471.99.00,Other data processing machines,Othe,84,IV,18%
hsn,8471.99.00,Point of sale terminals,Poin,84,IV,18%
hsn,8471.99.00,RFID tags,RFID,84,IV,18%
hsn,8471.99.00,Smart card initializer,Smar,84,IV,18%
hsn,8471.99.00,Smart card readers,Smar,84,IV,18%
hsn,8471.99.00,Smart cards,Smar,84,IV,18%
hsn,8472.00.00,"Other office machines (for example, hectograph or stencil duplicating machines, addressing machines, automatic banknote dispensers, coin sorting machines, coin counting or wrapping machines, pencil- sharpening machines, perforating or stapling machines) [other than Braille typewriters,electric or non-electric]",Othe,84,V,28%
